line_number,raw_date,corrected_date,date,year_correction_applied,lift,lift_name,weight,reps,failed,estimated_1rm,raw
238,2022-06-02,2022-06-02,2022-06-02,False,bench,벤치프레스,85.0,5,False,99.16666666666667,85 * 5
286,2022-06-06,2022-06-06,2022-06-06,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
287,2022-06-06,2022-06-06,2022-06-06,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
288,2022-06-06,2022-06-06,2022-06-06,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
289,2022-06-06,2022-06-06,2022-06-06,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
290,2022-06-06,2022-06-06,2022-06-06,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
291,2022-06-06,2022-06-06,2022-06-06,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
292,2022-06-06,2022-06-06,2022-06-06,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
329,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
330,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
331,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
332,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
333,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
334,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
335,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
336,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
337,2022-06-08,2022-06-08,2022-06-08,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
344,2022-06-09,2022-06-09,2022-06-09,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
345,2022-06-09,2022-06-09,2022-06-09,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
346,2022-06-09,2022-06-09,2022-06-09,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
347,2022-06-09,2022-06-09,2022-06-09,False,bench,벤치프레스,100.0,3,False,110.00000000000001,100 * 3
348,2022-06-09,2022-06-09,2022-06-09,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
349,2022-06-09,2022-06-09,2022-06-09,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
350,2022-06-09,2022-06-09,2022-06-09,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
372,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
373,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
374,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
375,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
376,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
377,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
378,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
379,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
380,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
381,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
382,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
383,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
384,2022-06-11,2022-06-11,2022-06-11,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
391,2022-06-13,2022-06-13,2022-06-13,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
392,2022-06-13,2022-06-13,2022-06-13,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
393,2022-06-13,2022-06-13,2022-06-13,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
394,2022-06-13,2022-06-13,2022-06-13,False,bench,벤치프레스,100.0,4,False,113.33333333333333,100 * 4
395,2022-06-13,2022-06-13,2022-06-13,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
396,2022-06-13,2022-06-13,2022-06-13,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
397,2022-06-13,2022-06-13,2022-06-13,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
429,2022-06-15,2022-06-15,2022-06-15,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
430,2022-06-15,2022-06-15,2022-06-15,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
431,2022-06-15,2022-06-15,2022-06-15,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
432,2022-06-15,2022-06-15,2022-06-15,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
433,2022-06-15,2022-06-15,2022-06-15,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
434,2022-06-15,2022-06-15,2022-06-15,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
435,2022-06-15,2022-06-15,2022-06-15,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
442,2022-06-16,2022-06-16,2022-06-16,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
443,2022-06-16,2022-06-16,2022-06-16,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
444,2022-06-16,2022-06-16,2022-06-16,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
445,2022-06-16,2022-06-16,2022-06-16,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
446,2022-06-16,2022-06-16,2022-06-16,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
447,2022-06-16,2022-06-16,2022-06-16,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
448,2022-06-16,2022-06-16,2022-06-16,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
480,2022-06-20,2022-06-20,2022-06-20,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
481,2022-06-20,2022-06-20,2022-06-20,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
482,2022-06-20,2022-06-20,2022-06-20,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
483,2022-06-20,2022-06-20,2022-06-20,False,bench,벤치프레스,100.0,4,False,113.33333333333333,100 * 4
484,2022-06-20,2022-06-20,2022-06-20,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
485,2022-06-20,2022-06-20,2022-06-20,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
486,2022-06-20,2022-06-20,2022-06-20,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
501,2022-06-22,2022-06-22,2022-06-22,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
502,2022-06-22,2022-06-22,2022-06-22,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
503,2022-06-22,2022-06-22,2022-06-22,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
504,2022-06-22,2022-06-22,2022-06-22,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
505,2022-06-22,2022-06-22,2022-06-22,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
506,2022-06-22,2022-06-22,2022-06-22,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
507,2022-06-22,2022-06-22,2022-06-22,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
