date,lift,lift_name,top_weight,best_estimated_1rm,total_volume,total_sets
2022-11-21,bench,벤치프레스,130.0,134.33333333333334,2720.0,7
2022-11-21,deadlift,데드리프트,170.0,175.66666666666669,570.0,4
2022-11-28,bench,벤치프레스,100.0,116.66666666666667,1800.0,4
2022-11-28,deadlift,데드리프트,160.0,170.66666666666666,960.0,3
2022-12-03,bench,벤치프레스,120.0,128.33333333333334,1590.0,4
2022-12-03,deadlift,데드리프트,160.0,186.66666666666669,1100.0,4
2022-12-06,bench,벤치프레스,120.0,136.0,3150.0,7
2022-12-06,deadlift,데드리프트,200.0,206.66666666666669,780.0,5
2022-12-07,squat,스쿼트,120.0,128.0,1040.0,3
2022-12-10,squat,스쿼트,130.0,143.0,1790.0,4
2022-12-12,bench,벤치프레스,100.0,116.66666666666667,800.0,2
2022-12-12,deadlift,데드리프트,140.0,163.33333333333334,700.0,1
2022-12-13,bench,벤치프레스,110.0,121.00000000000001,1680.0,5
2022-12-17,squat,스쿼트,150.0,160.0,3020.0,7
2022-12-19,bench,벤치프레스,120.0,128.33333333333334,2140.0,5
2022-12-19,deadlift,데드리프트,200.0,206.66666666666669,1290.0,6
2022-12-21,squat,스쿼트,150.0,155.00000000000003,2620.0,6
2022-12-22,bench,벤치프레스,120.0,128.33333333333334,2140.0,5
2022-12-22,deadlift,데드리프트,170.0,187.00000000000003,910.0,4
2022-12-24,squat,스쿼트,120.0,140.0,1400.0,3
2022-12-26,bench,벤치프레스,120.0,128.33333333333334,2800.0,7
2022-12-26,deadlift,데드리프트,210.0,217.00000000000003,990.0,6
2022-12-28,squat,스쿼트,160.0,165.33333333333334,2430.0,6
2022-12-29,bench,벤치프레스,120.0,132.0,2260.0,5
2022-12-29,deadlift,데드리프트,200.0,206.66666666666669,960.0,6
2023-01-02,bench,벤치프레스,120.0,132.0,3200.0,7
2023-01-02,deadlift,데드리프트,150.0,175.0,990.0,3
2023-01-04,squat,스쿼트,150.0,165.0,3200.0,6
2023-01-06,deadlift,데드리프트,210.0,217.00000000000003,1050.0,7
2023-01-07,squat,스쿼트,140.0,154.0,2470.0,5
2023-01-09,bench,벤치프레스,120.0,136.0,2130.0,4
2023-01-09,deadlift,데드리프트,200.0,206.66666666666669,840.0,6
2023-01-12,bench,벤치프레스,110.0,128.33333333333334,2730.0,6
2023-01-12,deadlift,데드리프트,180.0,198.00000000000003,1000.0,5
2023-01-14,squat,스쿼트,140.0,154.0,2830.0,6
2023-01-19,bench,벤치프레스,120.0,128.33333333333334,1890.0,4
2023-01-19,deadlift,데드리프트,200.0,206.66666666666669,780.0,5
2023-02-01,squat,스쿼트,120.0,140.0,3400.0,6
2023-02-02,deadlift,데드리프트,160.0,176.0,1980.0,4
2023-02-06,deadlift,데드리프트,200.0,206.66666666666669,1080.0,6
2023-02-08,squat,스쿼트,120.0,140.0,2400.0,5
2023-03-10,deadlift,데드리프트,180.0,186.00000000000003,880.0,5
2023-03-13,bench,벤치프레스,110.0,116.66666666666667,1810.0,5
2023-03-14,deadlift,데드리프트,180.0,186.00000000000003,640.0,5
2023-03-16,bench,벤치프레스,100.0,116.66666666666667,2200.0,6
2023-03-17,deadlift,데드리프트,180.0,186.00000000000003,1560.0,5
2023-03-20,bench,벤치프레스,100.0,116.66666666666667,2100.0,6
2023-03-21,deadlift,데드리프트,200.0,206.66666666666669,1080.0,6
2023-03-27,bench,벤치프레스,100.0,116.66666666666667,1900.0,6
2023-03-28,deadlift,데드리프트,180.0,186.00000000000003,640.0,5
2023-03-29,squat,스쿼트,100.0,116.66666666666667,2800.0,6
2023-08-09,squat,스쿼트,80.0,93.33333333333334,1900.0,5
2023-08-10,bench,벤치프레스,80.0,93.33333333333334,2650.0,7
2023-08-11,deadlift,데드리프트,140.0,144.66666666666669,1220.0,6
2023-08-16,squat,스쿼트,120.0,124.00000000000001,1480.0,6
2023-08-18,deadlift,데드리프트,150.0,155.00000000000003,700.0,6
2023-08-22,deadlift,데드리프트,160.0,165.33333333333334,1370.0,6
2023-08-23,squat,스쿼트,120.0,124.00000000000001,1480.0,6
2023-08-24,bench,벤치프레스,100.0,103.33333333333334,1420.0,5
2023-08-25,deadlift,데드리프트,160.0,165.33333333333334,1100.0,7
2023-08-26,squat,스쿼트,130.0,134.33333333333334,1560.0,6
2023-08-28,bench,벤치프레스,100.0,105.0,2150.0,6
2023-08-29,deadlift,데드리프트,160.0,165.33333333333334,1100.0,7
2023-08-30,squat,스쿼트,130.0,134.33333333333334,1560.0,6
