line_number,raw_date,corrected_date,date,month,lift,lift_name,weight,reps,sets,failed,estimated_1rm,raw,year_correction_applied
232,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
233,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
234,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
235,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
236,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
237,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
238,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
286,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
287,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
288,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
289,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
290,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
291,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
292,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
329,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
330,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
331,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
332,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
333,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
334,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
335,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
336,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
337,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
344,2022-06-09,2022-06-09,2022-06-09,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
345,2022-06-09,2022-06-09,2022-06-09,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
346,2022-06-09,2022-06-09,2022-06-09,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
347,2022-06-09,2022-06-09,2022-06-09,2022-06,bench,벤치프레스,100.0,3,1,False,110.00000000000001,100 * 3,False
348,2022-06-09,2022-06-09,2022-06-09,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
349,2022-06-09,2022-06-09,2022-06-09,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
350,2022-06-09,2022-06-09,2022-06-09,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
372,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
373,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
374,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
375,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
376,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
377,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
378,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
379,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
380,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
381,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
382,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
383,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
384,2022-06-11,2022-06-11,2022-06-11,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
391,2022-06-13,2022-06-13,2022-06-13,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
392,2022-06-13,2022-06-13,2022-06-13,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
393,2022-06-13,2022-06-13,2022-06-13,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
394,2022-06-13,2022-06-13,2022-06-13,2022-06,bench,벤치프레스,100.0,4,1,False,113.33333333333333,100 * 4,False
395,2022-06-13,2022-06-13,2022-06-13,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
396,2022-06-13,2022-06-13,2022-06-13,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
397,2022-06-13,2022-06-13,2022-06-13,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
429,2022-06-15,2022-06-15,2022-06-15,2022-06,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
430,2022-06-15,2022-06-15,2022-06-15,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
431,2022-06-15,2022-06-15,2022-06-15,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
432,2022-06-15,2022-06-15,2022-06-15,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
